pickup	dropoff	passengers	distance	fare	tip	tolls	total	color	payment	pickup_zone	dropoff_zone	pickup_borough	dropoff_borough
3/16/2019 17:53	3/16/2019 18:13	3	2.09	13.5	0	0	16.8	yellow	cash	Upper West Side North	Clinton East	Manhattan	Manhattan
3/15/2019 12:36	3/15/2019 12:54	1	2.12	13	0	0	16.3	yellow	cash	East Chelsea	Meatpacking/West Village West	Manhattan	Manhattan
3/23/2019 20:50	3/23/2019 21:02	1	2.6	10.5	2	0	16.3	yellow	credit card	Midtown Center	East Harlem South	Manhattan	Manhattan
3/27/2019 6:28	3/27/2019 6:38	1	2.18	9.5	1.92	0	14.72	yellow	credit card	Gramercy	Midtown Center	Manhattan	Manhattan
3/25/2019 22:04	3/25/2019 22:11	6	1.08	6.5	1.08	0	11.38	yellow	credit card	East Chelsea	East Chelsea	Manhattan	Manhattan
3/21/2019 3:37	3/21/2019 3:44	1	1.07	6.5	1.54	0	11.84	yellow	credit card	Penn Station/Madison Sq West	Kips Bay	Manhattan	Manhattan
3/25/2019 23:05	3/25/2019 23:11	1	0.8	5.5	2.3	0	11.6	yellow	credit card	Penn Station/Madison Sq West	Murray Hill	Manhattan	Manhattan
3/28/2019 17:20	3/28/2019 17:55	1	9.82	31.5	8.31	5.76	49.87	yellow	credit card	LaGuardia Airport	Sutton Place/Turtle Bay North	Queens	Manhattan
3/4/2019 12:15	3/4/2019 12:26	5	1.09	8.5	2.36	0	14.16	yellow	credit card	Sutton Place/Turtle Bay North	Midtown North	Manhattan	Manhattan
3/24/2019 9:53	3/24/2019 10:01	5	2.89	9.5	3.84	0	16.64	yellow	credit card	Lenox Hill West	Gramercy	Manhattan	Manhattan
3/25/2019 8:01	3/25/2019 8:13	1	1.9	10	3	0	16.3	yellow	credit card	Lincoln Square East	Midtown South	Manhattan	Manhattan
3/3/2019 2:45	3/3/2019 3:02	1	3.35	13.5	0	0	17.3	yellow	cash	West Chelsea/Hudson Yards	Seaport	Manhattan	Manhattan
3/16/2019 20:30	3/16/2019 20:46	1	2.6	12.5	3.26	0	19.56	yellow	credit card	Clinton East	Lenox Hill West	Manhattan	Manhattan
3/20/2019 12:25	3/20/2019 12:45	1	4.71	17.5	0	0	18.3	yellow	credit card	Clinton West	East Harlem North	Manhattan	Manhattan
3/6/2019 8:09	3/6/2019 8:27	1	0.92	12	0	0	15.3	yellow	cash	UN/Turtle Bay South	Garment District	Manhattan	Manhattan
3/10/2019 15:14	3/10/2019 15:20	1	1.84	7	2.06	0	12.36	yellow	credit card	Lenox Hill West	East Harlem South	Manhattan	Manhattan
3/1/2019 2:55	3/1/2019 2:57	3	0.74	4	0	0	7.8	yellow	cash	Clinton East	West Chelsea/Hudson Yards	Manhattan	Manhattan
3/17/2019 19:24	3/17/2019 19:29	1	0.62	5.5	1	0	9.8	yellow	credit card	Midtown Center	Sutton Place/Turtle Bay North	Manhattan	Manhattan
3/20/2019 22:29	3/20/2019 22:32	2	0.65	4.5	2.49	0	10.79	yellow	credit card	Midtown South	Midtown Center	Manhattan	Manhattan
3/21/2019 10:48	3/21/2019 10:57	2	0.87	7.5	2.16	0	12.96	yellow	credit card	Midtown North	Clinton West	Manhattan	Manhattan
3/1/2019 17:39	3/1/2019 18:04	1	3.06	17	4.26	0	25.56	yellow	credit card	West Chelsea/Hudson Yards	Lenox Hill East	Manhattan	Manhattan
3/22/2019 17:28	3/22/2019 17:33	1	1.1	5.5	0	0	9.8	yellow	cash	Garment District	Flatiron	Manhattan	Manhattan
3/21/2019 18:41	3/21/2019 19:15	1	3.13	20.5	0	0	24.8	yellow	cash	Lenox Hill East	Garment District	Manhattan	Manhattan
3/18/2019 16:03	3/18/2019 16:10	2	1.13	6.5	2.16	0	12.96	yellow	credit card	Gramercy	Murray Hill	Manhattan	Manhattan
3/25/2019 22:50	3/25/2019 22:59	1	2.47	10	2.76	0	16.56	yellow	credit card	Garment District	Upper West Side South	Manhattan	Manhattan
3/7/2019 15:15	3/7/2019 15:50	1	7.51	27	6.06	0	36.36	yellow	credit card	Flatiron	Carroll Gardens	Manhattan	Brooklyn
3/24/2019 18:42	3/24/2019 19:09	0	4.5	20	0	0	23.3	yellow	cash	TriBeCa/Civic Center	Kips Bay	Manhattan	Manhattan
3/30/2019 23:59	3/30/2019 23:59	1	0	80	20.08	0	100.38	yellow	credit card				
3/27/2019 19:39	3/27/2019 20:00	1	9.5	28	0	5.76	35.06	yellow	cash	LaGuardia Airport	Washington Heights South	Queens	Manhattan
3/14/2019 7:19	3/14/2019 7:45	1	9.37	29.5	1	0	33.8	yellow	credit card	East Harlem South	Battery Park City	Manhattan	Manhattan
3/7/2019 11:19	3/7/2019 11:39	1	0.8	12.5	3.15	0	18.95	yellow	credit card	Lincoln Square East	Midtown East	Manhattan	Manhattan
3/20/2019 11:40	3/20/2019 12:06	2	4.7	20	0	0	23.3	yellow	cash	Times Sq/Theatre District	Battery Park City	Manhattan	Manhattan
3/13/2019 6:17	3/13/2019 6:21	2	1.15	5.5	2.64	0	11.44	yellow	credit card	Upper East Side North	Lenox Hill West	Manhattan	Manhattan
3/7/2019 16:49	3/7/2019 16:57	1	1.3	7	0	0	11.3	yellow	cash	Lincoln Square East	Times Sq/Theatre District	Manhattan	Manhattan
3/4/2019 21:35	3/4/2019 21:53	1	4.87	17.5	0	0	21.3	yellow	cash	West Village	Upper West Side South	Manhattan	Manhattan
3/16/2019 16:36	3/16/2019 16:54	2	1	11.5	0	0	14.8	yellow	cash	Clinton East	Penn Station/Madison Sq West	Manhattan	Manhattan
3/16/2019 17:38	3/16/2019 17:56	4	1.89	12	0	0	15.3	yellow	cash	Midtown North	Union Sq	Manhattan	Manhattan
3/21/2019 21:30	3/21/2019 21:39	2	0.9	7	2.15	0	12.95	yellow	credit card	Greenwich Village South	Meatpacking/West Village West	Manhattan	Manhattan
3/20/2019 18:49	3/20/2019 19:12	1	13.45	36	0	0	37.8	yellow	cash	JFK Airport	Sunnyside	Queens	Queens
3/24/2019 1:13	3/24/2019 1:24	1	2.8	10.5	2.85	0	17.15	yellow	credit card	East Village	Sutton Place/Turtle Bay North	Manhattan	Manhattan
3/14/2019 12:11	3/14/2019 12:40	1	3.43	19	4.46	0	26.76	yellow	credit card	Union Sq	Lincoln Square West	Manhattan	Manhattan
3/5/2019 17:57	3/5/2019 18:45	2	19.59	52	0	5.76	65.56	yellow	credit card	JFK Airport	Upper East Side North	Queens	Manhattan
3/17/2019 13:55	3/17/2019 14:01	4	0.71	5.5	1.76	0	10.56	yellow	credit card	UN/Turtle Bay South	Midtown Center	Manhattan	Manhattan
3/1/2019 23:21	3/1/2019 23:46	1	4.5	18.5	4.46	0	26.76	yellow	credit card	Garment District	Financial District North	Manhattan	Manhattan
3/9/2019 19:24	3/9/2019 19:33	3	0.82	7	2	0	12.3	yellow	credit card	TriBeCa/Civic Center	Lower East Side	Manhattan	Manhattan
3/1/2019 22:49	3/1/2019 22:53	1	0.9	5	0	0	6.3	yellow	credit card	East Harlem South	East Harlem North	Manhattan	Manhattan
3/13/2019 10:55	3/13/2019 11:23	2	2.4	17.5	0	0	20.8	yellow	cash	Times Sq/Theatre District	Lenox Hill East	Manhattan	Manhattan
3/21/2019 23:33	3/21/2019 23:36	1	0.44	4	0	0	7.8	yellow	cash	Flatiron	East Chelsea	Manhattan	Manhattan
3/28/2019 21:59	3/28/2019 22:04	4	1.02	5.5	0	0	9.3	yellow	cash	Penn Station/Madison Sq West	Garment District	Manhattan	Manhattan
3/26/2019 10:14	3/26/2019 10:26	6	1.38	9	3.08	0	15.38	yellow	credit card	Midtown South	Midtown Center	Manhattan	Manhattan
3/2/2019 19:08	3/2/2019 19:31	1	2.42	15.5	3.76	0	22.56	yellow	credit card	Hudson Sq	Times Sq/Theatre District	Manhattan	Manhattan
3/15/2019 13:42	3/15/2019 13:49	1	0.66	6	2.79	0	12.09	yellow	credit card	Lenox Hill West	Lenox Hill West	Manhattan	Manhattan
3/4/2019 13:39	3/4/2019 13:58	1	3.3	15.5	0	0	18.8	yellow	cash	Garment District	Yorkville East	Manhattan	Manhattan
3/22/2019 2:22	3/22/2019 2:30	3	1.22	7.5	0	0	11.3	yellow	cash	Clinton East	Midtown North	Manhattan	Manhattan
3/31/2019 15:43	3/31/2019 15:53	1	0.55	7.5	1.5	0	12.3	yellow	credit card	Clinton East	Times Sq/Theatre District	Manhattan	Manhattan
3/27/2019 19:27	3/27/2019 19:48	1	3.51	16.5	1	0	21.8	yellow	credit card	Union Sq	Upper East Side North	Manhattan	Manhattan
3/13/2019 7:34	3/13/2019 7:38	1	1.07	5.5	1.76	0	10.56	yellow	credit card	East Chelsea	Garment District	Manhattan	Manhattan
3/12/2019 15:44	3/12/2019 16:02	1	1.98	11.5	2.96	0	17.76	yellow	credit card	Yorkville West	Upper West Side North	Manhattan	Manhattan
3/29/2019 8:48	3/29/2019 8:56	1	1	6.5	1.95	0	11.75	yellow	credit card	Murray Hill	Union Sq	Manhattan	Manhattan
3/2/2019 23:05	3/2/2019 23:17	1	1.85	10	0	0	13.8	yellow	cash	Clinton East	Lenox Hill West	Manhattan	Manhattan
3/17/2019 1:28	3/17/2019 2:04	1	7.95	30	0	0	33.8	yellow	cash	Flatiron	Jackson Heights	Manhattan	Queens
3/9/2019 13:42	3/9/2019 13:48	1	1	6.5	0	0	9.8	yellow	cash	Upper East Side North	Midtown East	Manhattan	Manhattan
3/5/2019 15:41	3/5/2019 15:46	1	0.6	5	1.65	0	9.95	yellow	credit card	Midtown Center	Midtown Center	Manhattan	Manhattan
3/18/2019 19:57	3/18/2019 20:06	2	1.57	8.5	1.8	0	14.6	yellow	credit card	Central Park	Midtown North	Manhattan	Manhattan
3/17/2019 22:47	3/17/2019 22:55	1	1.3	7.5	2.25	0	13.55	yellow	credit card	West Chelsea/Hudson Yards	Meatpacking/West Village West	Manhattan	Manhattan
3/15/2019 23:46	3/15/2019 23:59	1	1.47	9.5	0	0	13.3	yellow	cash	Midtown East	Penn Station/Madison Sq West	Manhattan	Manhattan
3/16/2019 18:57	3/16/2019 19:00	2	0.4	4	0	0	7.3	yellow	cash	Upper East Side North	Upper East Side North	Manhattan	Manhattan
3/14/2019 11:55	3/14/2019 12:08	6	1.84	10	2.66	0	15.96	yellow	credit card	East Harlem South	Upper East Side South	Manhattan	Manhattan
3/16/2019 21:03	3/16/2019 21:21	1	2.5	12.5	1.5	0	17.8	yellow	credit card	Meatpacking/West Village West	Chinatown	Manhattan	Manhattan
3/9/2019 19:54	3/9/2019 20:07	2	1.5	9.5	0	0	12.8	yellow	cash	Gramercy	Penn Station/Madison Sq West	Manhattan	Manhattan
3/3/2019 16:44	3/3/2019 16:48	1	1.02	5	2.08	0	10.38	yellow	credit card	Kips Bay	Stuy Town/Peter Cooper Village	Manhattan	Manhattan
3/4/2019 20:20	3/4/2019 20:24	1	0.6	5	0	0	6.3	yellow	cash	Morningside Heights	Morningside Heights	Manhattan	Manhattan
3/28/2019 22:57	3/28/2019 23:16	1	4.1	16	0	0	19.8	yellow	cash	Hudson Sq	Lincoln Square East	Manhattan	Manhattan
3/16/2019 5:08	3/16/2019 5:08	1	0.07	2.5	0	0	3.8	yellow	cash	Astoria	Astoria	Queens	Queens
3/27/2019 22:22	3/27/2019 22:41	1	5.99	20	5.95	0	29.75	yellow	credit card	Greenwich Village South	Yorkville West	Manhattan	Manhattan
3/7/2019 10:39	3/7/2019 11:05	5	2.55	16.5	0	0	19.8	yellow	cash	Midtown Center	Little Italy/NoLiTa	Manhattan	Manhattan
3/11/2019 8:46	3/11/2019 8:47	1	0.3	3	0.95	0	7.25	yellow	credit card	Upper East Side North	Upper East Side North	Manhattan	Manhattan
3/28/2019 7:05	3/28/2019 7:41	0	10.6	33.5	0	5.76	40.06	yellow	credit card	East Tremont	Midtown East	Bronx	Manhattan
3/12/2019 12:02	3/12/2019 12:17	3	0.66	9.5	1.2	0	14	yellow	credit card	Sutton Place/Turtle Bay North	Midtown Center	Manhattan	Manhattan
3/6/2019 20:00	3/6/2019 20:11	3	2.6	11	4.4	0	19.2	yellow	credit card	Upper East Side South	Upper West Side North	Manhattan	Manhattan
3/28/2019 21:30	3/28/2019 21:42	1	1.6	9	2.55	0	15.35	yellow	credit card	Penn Station/Madison Sq West	Stuy Town/Peter Cooper Village	Manhattan	Manhattan
3/13/2019 16:11	3/13/2019 16:28	1	3.21	13.5	0	0	17.8	yellow	cash	Financial District South	Downtown Brooklyn/MetroTech	Manhattan	Brooklyn
3/4/2019 22:34	3/4/2019 22:41	1	1.3	7.5	0.5	0	11.8	yellow	credit card	Midtown Center	Upper East Side South	Manhattan	Manhattan
3/8/2019 19:10	3/8/2019 19:18	2	0.9	7	0	0	11.3	yellow	cash	Midtown North	Times Sq/Theatre District	Manhattan	Manhattan
3/2/2019 10:47	3/2/2019 10:56	3	0.95	7.5	2.16	0	12.96	yellow	credit card	West Village	Flatiron	Manhattan	Manhattan
3/28/2019 11:28	3/28/2019 11:49	1	1.79	13.5	3.36	0	20.16	yellow	credit card	Lincoln Square East	Midtown South	Manhattan	Manhattan
3/29/2019 14:24	3/29/2019 14:31	1	1.15	7	2.06	0	12.36	yellow	credit card	Midtown Center	Lenox Hill West	Manhattan	Manhattan
3/1/2019 7:34	3/1/2019 7:40	1	1.2	6.5	0	0	9.8	yellow	cash	Bloomingdale	Upper West Side North	Manhattan	Manhattan
3/31/2019 11:50	3/31/2019 11:54	4	0.43	4	0	0	7.3	yellow	cash	Union Sq	Union Sq	Manhattan	Manhattan
3/28/2019 13:29	3/28/2019 13:56	3	9.5	30	0	5.76	39.06	yellow	cash	Queensboro Hill	Midtown South	Queens	Manhattan
3/12/2019 17:05	3/12/2019 17:12	1	1.1	6.5	2.15	0	12.95	yellow	credit card	Central Park	Upper West Side North	Manhattan	Manhattan
3/8/2019 18:43	3/8/2019 18:57	1	2.06	10	2.86	0	17.16	yellow	credit card	Gramercy	Midtown Center	Manhattan	Manhattan
3/4/2019 17:49	3/4/2019 17:55	1	0.78	5.5	1.47	0	11.27	yellow	credit card	Union Sq	Midtown South	Manhattan	Manhattan
3/22/2019 13:23	3/22/2019 13:43	4	2.42	13.5	2	0	18.8	yellow	credit card	Midtown South	Clinton West	Manhattan	Manhattan
3/9/2019 23:57	3/10/2019 0:16	1	2.73	13	1	0	17.8	yellow	credit card	SoHo	DUMBO/Vinegar Hill	Manhattan	Brooklyn
3/20/2019 10:12	3/20/2019 10:31	1	5.7	20	4.65	0	27.95	yellow	credit card	Yorkville West	Greenwich Village South	Manhattan	Manhattan
3/15/2019 10:56	3/15/2019 11:37	1	11.93	39.5	9.71	5.76	58.27	yellow	credit card	Times Sq/Theatre District	LaGuardia Airport	Manhattan	Queens
3/22/2019 23:19	3/22/2019 23:31	1	1.7	10	2.75	0	16.55	yellow	credit card	Midtown Center	Upper West Side South	Manhattan	Manhattan
3/30/2019 12:28	3/30/2019 12:49	1	2.9	15	0	0	18.3	yellow	cash	Penn Station/Madison Sq West	Upper West Side South	Manhattan	Manhattan
3/5/2019 12:17	3/5/2019 12:36	1	5.98	19	5.58	0	27.88	yellow	credit card	Brooklyn Heights	Murray Hill	Brooklyn	Manhattan
3/1/2019 16:10	3/1/2019 16:15	1	0.65	5	1.86	0	11.16	yellow	credit card	Midtown Center	Sutton Place/Turtle Bay North	Manhattan	Manhattan
3/25/2019 15:43	3/25/2019 15:58	1	1.76	10.5	0	0	13.8	yellow	cash	Times Sq/Theatre District	Flatiron	Manhattan	Manhattan
3/23/2019 9:39	3/23/2019 9:56	0	3.6	15.5	3.75	0	22.55	yellow	credit card	Yorkville East	Penn Station/Madison Sq West	Manhattan	Manhattan
3/11/2019 10:00	3/11/2019 10:04	2	0.58	4.5	0.78	0	8.58	yellow	credit card	Upper East Side South	Upper East Side North	Manhattan	Manhattan
3/14/2019 23:29	3/14/2019 23:37	1	1.22	7	0	0	10.8	yellow	cash	Alphabet City	East Village	Manhattan	Manhattan
3/21/2019 17:21	3/21/2019 17:21	1	0	2.5	0	0	4.3	yellow	cash	JFK Airport	JFK Airport	Queens	Queens
3/13/2019 20:00	3/13/2019 20:14	1	2.1	11	3.05	0	18.35	yellow	credit card	East Chelsea	East Village	Manhattan	Manhattan
3/10/2019 20:36	3/10/2019 20:47	2	2	9.5	1.62	0	12.42	yellow	credit card	Manhattan Valley	East Harlem South	Manhattan	Manhattan
3/20/2019 21:17	3/20/2019 21:22	1	0.83	5.5	0	0	9.3	yellow	cash	Clinton East	Midtown Center	Manhattan	Manhattan
3/4/2019 13:06	3/4/2019 13:16	1	1.79	9.5	1	0	13.8	yellow	credit card	Midtown Center	Upper East Side North	Manhattan	Manhattan
3/31/2019 17:17	3/31/2019 17:29	1	2.07	10	2.7	0	13.5	yellow	credit card	East Harlem South	Manhattan Valley	Manhattan	Manhattan
3/13/2019 8:46	3/13/2019 8:58	1	1.53	10	2.66	0	15.96	yellow	credit card	Lincoln Square West	Upper West Side North	Manhattan	Manhattan
3/21/2019 18:44	3/21/2019 19:30	1	10.21	37.61	0	0	38.41	yellow	credit card	East Chelsea	Marble Hill	Manhattan	Manhattan
3/6/2019 19:29	3/6/2019 20:08	1	10.8	36	11.5	5.76	57.56	yellow	credit card	LaGuardia Airport	Clinton East	Queens	Manhattan
3/17/2019 22:46	3/17/2019 23:04	1	3.43	14.5	3.66	0	21.96	yellow	credit card	Times Sq/Theatre District	East Village	Manhattan	Manhattan
3/10/2019 0:20	3/10/2019 0:27	3	0.57	6	0	0	9.8	yellow	cash	East Village	East Village	Manhattan	Manhattan
3/28/2019 18:06	3/28/2019 18:11	1	0.9	5.5	0	0	9.8	yellow	cash	Lincoln Square West	Lincoln Square East	Manhattan	Manhattan
3/12/2019 13:01	3/12/2019 13:04	1	0.6	4	0	0	7.3	yellow	cash	Kips Bay	Murray Hill	Manhattan	Manhattan
3/28/2019 21:09	3/28/2019 21:15	1	1.06	6	2.94	0	12.74	yellow	credit card	East Chelsea	Clinton East	Manhattan	Manhattan
3/11/2019 10:37	3/11/2019 10:50	5	1.56	10	1	0	14.3	yellow	credit card	Union Sq	Midtown Center	Manhattan	Manhattan
3/6/2019 18:59	3/6/2019 19:11	1	0.9	8.5	2.5	0	15.3	yellow	credit card	Gramercy	Union Sq	Manhattan	Manhattan
3/11/2019 11:56	3/11/2019 12:06	1	1.7	9	0	0	12.3	yellow	cash	Lincoln Square West	Upper West Side North	Manhattan	Manhattan
3/9/2019 19:07	3/9/2019 19:10	1	0.55	4.5	1.56	0	9.36	yellow	credit card	Yorkville East	Yorkville West	Manhattan	Manhattan
3/7/2019 19:26	3/7/2019 19:44	4	3	14	3.65	0	21.95	yellow	credit card	Clinton West	Greenwich Village North	Manhattan	Manhattan
3/19/2019 15:08	3/19/2019 15:34	6	6.4	23	5.26	0	31.56	yellow	credit card	Yorkville West	Greenwich Village South	Manhattan	Manhattan
3/29/2019 8:55	3/29/2019 9:13	2	4.14	16	3.86	0	23.16	yellow	credit card	Yorkville East	Kips Bay	Manhattan	Manhattan
3/31/2019 8:55	3/31/2019 9:00	1	1.1	6	0	0	9.3	yellow	cash	Clinton East	Central Park	Manhattan	Manhattan
3/30/2019 20:45	3/30/2019 21:06	1	2.61	14	2.67	0	20.47	yellow	credit card	Sutton Place/Turtle Bay North	Lower East Side	Manhattan	Manhattan
3/3/2019 12:37	3/3/2019 12:43	1	1.18	6.5	0	0	9.8	yellow	cash	Union Sq	East Village	Manhattan	Manhattan
3/23/2019 18:35	3/23/2019 18:47	1	3.2	12.5	2	0	17.8	yellow	credit card	UN/Turtle Bay South	East Village	Manhattan	Manhattan
3/26/2019 23:30	3/26/2019 23:40	1	2.8	10.5	2.85	0	17.15	yellow	credit card	East Chelsea	Lincoln Square West	Manhattan	Manhattan
3/11/2019 11:36	3/11/2019 11:57	2	5.09	19	5.58	0	27.88	yellow	credit card	Financial District North	Stuy Town/Peter Cooper Village	Manhattan	Manhattan
3/25/2019 15:51	3/25/2019 16:01	1	1.16	8	2.26	0	13.56	yellow	credit card	Flatiron	Greenwich Village North	Manhattan	Manhattan
3/27/2019 23:10	3/27/2019 23:22	3	2.77	11	3.7	0	18.5	yellow	credit card	East Chelsea	Seaport	Manhattan	Manhattan
3/28/2019 7:54	3/28/2019 8:01	1	1.72	7.5	0	0	8.3	yellow	cash	Manhattan Valley	East Harlem South	Manhattan	Manhattan
3/19/2019 6:22	3/19/2019 6:37	1	3.5	13.5	0	0	16.8	yellow	cash	Lenox Hill East	Manhattan Valley	Manhattan	Manhattan
3/29/2019 10:25	3/29/2019 11:14	3	6.71	34	7.46	0	44.76	yellow	credit card	Times Sq/Theatre District	Williamsburg (North Side)	Manhattan	Brooklyn
3/28/2019 5:39	3/28/2019 5:47	1	2.2	8.5	2.45	0	14.75	yellow	credit card	Lenox Hill West	Garment District	Manhattan	Manhattan
3/13/2019 18:32	3/13/2019 18:45	1	2	10	0	0	14.3	yellow	cash	Clinton East	Gramercy	Manhattan	Manhattan
3/5/2019 17:58	3/5/2019 18:19	2	2.7	14.5	0	0	18.8	yellow	cash	Murray Hill	Upper East Side North	Manhattan	Manhattan
3/21/2019 22:49	3/21/2019 22:55	1	1.03	6	1.46	0	8.76	yellow	credit card	DUMBO/Vinegar Hill	Brooklyn Heights	Brooklyn	Brooklyn
3/7/2019 19:57	3/7/2019 20:10	1	0.9	9.5	2	0	15.8	yellow	credit card	Lenox Hill West	Yorkville East	Manhattan	Manhattan
3/2/2019 12:25	3/2/2019 12:45	5	10.18	29.5	0.06	5.76	38.62	yellow	credit card	LaGuardia Airport	Midtown East	Queens	Manhattan
3/5/2019 15:39	3/5/2019 15:44	3	0.92	5.5	0	0	8.8	yellow	cash	Clinton East	Midtown North	Manhattan	Manhattan
3/13/2019 16:40	3/13/2019 16:51	1	2	9.5	1	0	14.8	yellow	credit card	Central Park	Upper East Side North	Manhattan	Manhattan
3/14/2019 11:36	3/14/2019 11:46	1	1.43	8.5	2.36	0	14.16	yellow	credit card	Central Park	Upper West Side North	Manhattan	Manhattan
3/22/2019 7:46	3/22/2019 7:49	3	0.74	4.5	1.95	0	9.75	yellow	credit card	Times Sq/Theatre District	Garment District	Manhattan	Manhattan
3/6/2019 17:36	3/6/2019 18:43	2	17.1	52	13.1	5.76	78.66	yellow	credit card	Midtown South	JFK Airport	Manhattan	Queens
3/8/2019 4:17	3/8/2019 4:21	1	1.2	5.5	1	0	10.3	yellow	credit card	Garment District	Garment District	Manhattan	Manhattan
3/31/2019 15:21	3/31/2019 15:37	2	1.8	11	1	0	15.3	yellow	credit card	East Village	West Village	Manhattan	Manhattan
3/21/2019 21:31	3/21/2019 21:49	1	2.13	12	0	0	15.8	yellow	cash	Meatpacking/West Village West	East Village	Manhattan	Manhattan
3/6/2019 12:43	3/6/2019 12:59	1	1.4	11	2.85	0	17.15	yellow	credit card	Gramercy	Flatiron	Manhattan	Manhattan
3/18/2019 14:30	3/18/2019 14:36	1	0.6	5.5	0	0	8.8	yellow	cash	Upper East Side North	Yorkville West	Manhattan	Manhattan
3/28/2019 22:33	3/28/2019 22:45	2	1.56	9.5	0	0	13.3	yellow	cash	Midtown Center	Murray Hill	Manhattan	Manhattan
3/13/2019 12:33	3/13/2019 12:40	6	0.95	6	2.32	0	11.62	yellow	credit card	Lincoln Square East	Clinton East	Manhattan	Manhattan
3/14/2019 4:46	3/14/2019 4:49	2	0.56	4	1.56	0	9.36	yellow	credit card	Times Sq/Theatre District	Midtown Center	Manhattan	Manhattan
3/13/2019 19:21	3/13/2019 19:28	1	1	6.5	0	0	10.8	yellow	cash	Little Italy/NoLiTa	Greenwich Village North	Manhattan	Manhattan
3/1/2019 11:25	3/1/2019 11:34	1	1.24	8	0	0	11.3	yellow	cash	Upper West Side South	Upper East Side North	Manhattan	Manhattan
3/5/2019 22:07	3/5/2019 22:18	6	2.16	9.5	3.32	0	16.62	yellow	credit card	Midtown East	East Village	Manhattan	Manhattan
3/4/2019 20:56	3/4/2019 21:13	1	9.97	28.5	0	0	29.8	yellow	credit card	Mott Haven/Port Morris	Riverdale/North Riverdale/Fieldston	Bronx	Bronx
3/4/2019 20:40	3/4/2019 20:44	1	1.1	5.5	1.86	0	11.16	yellow	credit card	Clinton East	Clinton East	Manhattan	Manhattan
3/5/2019 17:58	3/5/2019 18:00	1	0.44	3.5	1.11	0	8.91	yellow	credit card	East Village	Gramercy	Manhattan	Manhattan
3/29/2019 19:21	3/29/2019 19:35	1	5.19	17.5	4	0	25.8	yellow	credit card	Financial District North	Murray Hill	Manhattan	Manhattan
3/16/2019 17:27	3/16/2019 17:41	0	3.5	14.5	0	0	15.3	yellow	cash	Manhattan Valley	Washington Heights South	Manhattan	Manhattan
3/1/2019 10:25	3/1/2019 10:32	1	0.84	6	0	0	9.3	yellow	cash	Upper West Side South	Lincoln Square West	Manhattan	Manhattan
3/8/2019 0:51	3/8/2019 0:56	5	0.93	5.5	1.86	0	11.16	yellow	credit card	East Village	Lower East Side	Manhattan	Manhattan
3/15/2019 9:20	3/15/2019 9:27	2	0.71	6	0	0	9.3	yellow	cash	Midtown East	Murray Hill	Manhattan	Manhattan
3/7/2019 0:09	3/7/2019 0:38	1	6.08	24	0	0	27.8	yellow	cash	Midtown South	Steinway	Manhattan	Queens
3/11/2019 20:45	3/11/2019 20:50	1	1.09	6	1.96	0	11.76	yellow	credit card	East Village	Gramercy	Manhattan	Manhattan
